x,y
4.555171741807699,5.949377694469146
6.021120412858528,4.903598330867534
5.095996275456595,4.550883582954206
5.363866934527806,5.068048524086198
5.8640441692403105,4.9707122469883265
4.7126917482523565,5.658677169883534
5.084476020497534,4.590051333897208
5.343743013450567,4.924979443686607
4.275203422450252,4.731512727597497
4.630538031033782,5.465151178042319
4.708019244046902,5.30509213316807
5.166362904954719,4.727387223930621
4.880711379791494,4.787459288013389
5.925018377774666,4.371508166203269
4.418170411977989,5.086112865601449
6.358422217813052,5.143423049888273
5.060681016785921,4.583635744109403
5.7525036067571795,5.701702469906459
4.351532227933976,4.438778674722498
5.181310626700328,4.5111408908915696
5.398734390841179,4.973340823081778
5.18774625858844,4.862140419863918
5.486469132214953,4.870208326312111
5.250043760833439,4.746226053720207
5.425861680369162,5.777029837929315
4.148586565111039,5.71040338353489
5.374374638151195,3.5572956251888384
5.174669742887988,6.633522490326937
5.064923485737535,5.429098877130353
5.083644538536106,4.8560726763598145
4.3514479544721425,5.058512044844178
4.318680325546071,5.614645871501953
4.158025286379425,6.005103602029159
6.029316349387113,5.2511547226116155
5.135213120788707,4.826002933388813
4.224680892011586,4.8229695793479115
4.78597098478156,5.069962539151338
5.0649330883507435,5.123313550508399
5.201458424841003,5.147602705170041
4.9888967257182575,5.511959677714846
5.161673360134744,5.709011163057463
5.575802301470407,5.426765843993948
5.585710956892153,4.785533521029416
4.148394923138038,5.032016828384966
5.845255097888103,4.965674861054746
4.571229509505825,5.291299079895728
4.857362490335582,5.284887635082783
4.387360490921753,5.413913205520243
4.7462909713698025,5.274635673262719
4.837075497650101,5.764896538007993
4.815081661660077,5.47665425517844
4.451948054747519,3.695244037257332
4.889915038414898,5.027360780817843
5.063320521236362,4.599403432754102
5.293157982591236,5.05323918645082
5.7474907286663885,4.926463196062494
4.189724931219401,5.023475942777366
5.25378289421648,4.866903909342675
5.75172136358045,3.8942083132018537
5.137280487678796,5.736606328811094
5.269910586578936,4.658190539125104
4.931402691193464,4.943880828111616
4.750859538885012,4.1920984828366965
